Results11,Results12,Results13,Results14,Results15,Results16,Results17,Results18,Results19,Results110,Results111,Results112,Results113,Results114,Results115,Results116,Results117,Results118,Results119,Results120,Results121,Results122
File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power,File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power
 ,23.4375,0.12151,0.1283,0.17752,0.12273,0.11667,0.17581,0.11382,0.13358,0.1803, ,23.4375,0.10616,0.13364,0.16854,0.10714,0.12397,0.16761,0.10362,0.13896,0.16987
 ,23.9258,0.11159,0.12131,0.16478,0.11075,0.10986,0.16461,0.11689,0.12651,0.16504, ,23.9258,0.099269,0.1259,0.15685,0.10055,0.11664,0.15634,0.095947,0.13101,0.15757
 ,24.4141,0.10588,0.11558,0.15172,0.10402,0.10647,0.15076,0.11755,0.11971,0.1533, ,24.4141,0.0957,0.11867,0.14624,0.098445,0.11163,0.14657,0.088575,0.12255,0.14576
 ,24.9023,0.1003,0.10868,0.14045,0.098845,0.10204,0.13925,0.10945,0.11169,0.14242, ,24.9023,0.089054,0.11225,0.13433,0.089341,0.10658,0.1349,0.088309,0.11537,0.13352
 ,25.3906,0.087766,0.10288,0.12963,0.08769,0.096176,0.12901,0.088242,0.10592,0.13065, ,25.3906,0.082799,0.10633,0.12522,0.082639,0.10123,0.12641,0.083213,0.10914,0.12351
 ,25.8789,0.083311,0.097859,0.12181,0.083955,0.088632,0.12211,0.079259,0.10205,0.12131, ,25.8789,0.079175,0.10043,0.11867,0.078383,0.093305,0.11957,0.08123,0.10436,0.11737
 ,26.3672,0.078422,0.091914,0.11204,0.078111,0.084144,0.11197,0.080382,0.095443,0.11216, ,26.3672,0.074764,0.096233,0.10942,0.07419,0.087381,0.10915,0.076255,0.1011,0.10981
 ,26.8555,0.074629,0.087343,0.10422,0.075065,0.081605,0.10344,0.071885,0.089949,0.10549, ,26.8555,0.071084,0.090587,0.10142,0.070557,0.083836,0.10065,0.07245,0.094302,0.10253
 ,27.3438,0.070578,0.083057,0.096917,0.070849,0.077574,0.095562,0.068869,0.085548,0.099128, ,27.3438,0.063774,0.085218,0.093405,0.062079,0.078344,0.092663,0.068175,0.089001,0.09447
 ,27.832,0.06665,0.07836,0.09059,0.066734,0.07331,0.089399,0.066124,0.080653,0.092533, ,27.832,0.060566,0.081912,0.087057,0.060026,0.076973,0.087437,0.061969,0.08463,0.086512
 ,28.3203,0.062622,0.074476,0.084066,0.06328,0.069663,0.082993,0.058477,0.076662,0.085817, ,28.3203,0.057286,0.079732,0.08062,0.05737,0.075733,0.080577,0.057068,0.081933,0.080682
 ,28.8086,0.058584,0.070636,0.07715,0.059474,0.066877,0.076504,0.052981,0.072344,0.078205, ,28.8086,0.054707,0.076147,0.074468,0.054238,0.072358,0.074074,0.055924,0.078232,0.075033
 ,29.2969,0.056021,0.066584,0.071626,0.056678,0.063677,0.070479,0.051881,0.067904,0.073497, ,29.2969,0.051409,0.072559,0.069871,0.051371,0.0704,0.069579,0.051506,0.073747,0.07029
 ,29.7852,0.053147,0.064386,0.067118,0.053017,0.060921,0.066143,0.053966,0.065961,0.068709, ,29.7852,0.04961,0.068712,0.064769,0.050031,0.066607,0.064187,0.048516,0.06987,0.065604
